id,published_on,updated_on,company,slug,title,link,content,tags
70348,2017-10-18T13:25:21,2017-10-18T13:25:21,ZipJet,mobile-developer-javascript-mf-berlin-zipjet,Mobile Developer Javascript (m/f) &#8211; Berlin // ZipJet,http://berlinstartupjobs.com/engineering/mobile-developer-javascript-mf-berlin-zipjet/,"<p>You want to work in an international IT team that&#8217;s working on changing the world of on-demand services? Let your heart beat for building hybrid mobile platforms and progressive web applications &#8211; join Zipjet and let&#8217;s wash some dirty laundry together!</p>
<p><!--more--></p>
<p><strong>Who we are</strong></p>
<p>Zipjet is Europe&#8217;s leading on-demand laundry &#038; dry cleaning service, operating in London, Paris and Berlin. We take the hassle of laundry off our customers’ hands, so they can spend more time doing the things they enjoy. To do this, we’ve created a cutting-edge, app-based service that allows our customers to have their laundry collected and delivered back to them in as little as 24 hours. Think of us as a remote control for your laundry pile!</p>
<p>Our service is available on mobile apps (iOS &#038; Android) and via our website. We strive for operational excellence and build solutions to serve large numbers of customer in a highly reliable and autonomous manner.</p>
<p>We’re a young team of about 50 people across our three cities, with a great mix of previous professional experience. Our backgrounds are diverse, both culturally and professionally. One thing we all have in common, though, is that we are passionate about making Zipjet a success.</p>
<p><strong>About our IT team:</strong></p>
<p>Currently we are focusing on door-to-door laundry services. In order to provide excellence towards our customers we need assistance</p>
<ul>
<li>in building mobile and web-apps for a convenient customer experiences</li>
<li>in building internal tools and apps for the operational / logistics part</li>
</ul>
<p>We are mainly focusing on a homogeneous ecosystem around progressive web apps and hybrid mobile apps.</p>
<p><strong>About the role:</strong></p>
<p>As a Zipjet&#8217; <strong>Mobile Javascript Developer</strong> (m/f) you will be in charge of developing new internal and customer facing apps and improve existing apps.</p>
<p>You will work closely with our product manager, operations manager, marketing and design. So you have to chance to shape things as we go. We integrate our developers into the whole development cycle. From the first ideas, over prototypes and the final release.</p>
<p>That being said, the skill-set for a developer here at Zipjet would be:</p>
<p><strong>What we are looking for:</strong></p>
<ul>
<li>3+ years experience in Javascript development with frameworks like React.js or Angular.js</li>
<li>Advanced knowledge of implementing REST-Api clients</li>
<li>Advanced knowledge of HTML5 / CSS</li>
<li>Basic to advance knowledge of concepts like Redux.js</li>
<li>Basic knowledge in writing Unit-Tests and Behavioral-Test (ideally test driven design)</li>
<li>Basic knowledge of the differences between React.js and React.Native</li>
<li>Basic knowledge of the differences in the UI/UX philosophies of Android vs. iOS</li>
<li>Code versioning with git</li>
</ul>
<p>It&#8217;s a plus if you have:</p>
<ul>
<li>Strong experience in React.Native and Redux</li>
<li>Some backend experience in Node.js, PHP or Java (SpringBoot)</li>
<li>A personal GitHub account with hobby projects where we can have a look at</li>
<li>Contributed to open-source projects</li>
</ul>
<p><strong>Who you are:</strong></p>
<p>As a professional in your field, you like to get your hands dirty making things work, setting your own goals, and doing your best to achieve them. You are self-motivated, like to satisfy your natural curiosity, and have the urge to complete your work the most efficient and correct way. When an idea comes to your head, you are enthusiastic to share the idea and put it into practice. You are not afraid to play around and build everything based on your vision. Finally, you really like what you are doing, and you’re able to enjoy the results of great team-work and an excellent product.</p>
<p><strong>What we offer:</strong></p>
<p>A setting that allows you to shape the essential parts of a business operation. Cutting edge technology allowing you to work with state-of-the-art tools and software solutions. The prospect of making people&#8217;s lives a bit easier. A goal-oriented working atmosphere, in an international environment, with a flat hierarchy and an open-door policy. And yes, we are also offer free laundry, drinks, cereal, and regular team events, but we know that’s not the main reason you want to join us!</p>
<p><strong>Are you up for a challenge?</strong></p>
<p>We are looking forward to receive your complete application including your earliest starting date, your personal GitHub account with some code samples and a list of projects you worked on with pride.</p>
","[28, 29, 4016, 4659, 15365]"
70316,2017-10-18T13:23:48,2017-10-18T13:23:48,relayr,it-administrator-mf-relayr,IT Administrator (m/f) // relayr,http://berlinstartupjobs.com/engineering/it-administrator-mf-relayr/,"<p>Do you want to take part in the next technological revolution?</p>
<p>We are relayr, an IoT company specialising in the Digital Transformation of Industries. We provide powerful, simple-to-use tools which enable fast and cost effective development of new solutions, equipment and services for the fascinating, constantly evolving world of Internet of Things.</p>
<p><!--more--></p>
<p>relayr has been described as one of the most successful startups in the industry and we are looking for a <strong>IT Administrator (m/f)</strong> to join our team in <strong>Berlin</strong> and help us bring things to life!</p>
<p>We are looking for someone to provide first / second line IT support and IT Administration within a busy environment. The role will also involve providing assistance with support and development of internal projects as required.</p>
<p><strong>Your tasks:</strong></p>
<ul>
<li>Provide effective and friendly 1st / 2nd line support to all users over the business core operating hours.</li>
<li>Resolve support issues on Mac and Windows devices, including desktop applications. Basic phone and network system management.</li>
<li>Complete daily proactive checks of the IT infrastructure systems.</li>
<li>Maintain existing, and deploy new desktop systems as required.</li>
<li>Assist with the proactive management of the IT infrastructure including the monitoring of server systems.</li>
<li>Perform basic administration for our team collaboration tools from Atlassian</li>
<li>Identify possible issues and escalate if necessary.</li>
<li>Escalate recurring and major incidents to relevant senior support staff.</li>
<li>Follow department procedures and processes for key administration tasks as required.</li>
<li>Update internal infrastructure and inventory documentation.</li>
<li>Administer cloud-based accounts</li>
</ul>
<p><strong>Your skills:</strong></p>
<ul>
<li>2 years IT support experience</li>
<li>Working within a busy IT service desk environment</li>
<li>A good understanding of Windows, Mac and Linux operating systems, client-server networks and Microsoft Office applications is required</li>
<li>Network infrastructure experience (Cisco) with Switches, Routers, Wireless, Servers</li>
<li>Basic understanding of virtualisation (Virtualisation concepts, VMware Vsphere 5, Server and desktop virtualisation)</li>
<li>Telephony &#038; PBX knowledge is a plus (Cisco)</li>
<li>Basic knowledge of Atlassian collaboration tools such as Jira, Confluence, Hipchat</li>
<li>IT related degree, MCSA, ITIL Foundation is a plus</li>
<li>An ability to learn fast within a growing and developing company</li>
<li>Good interpersonal skills within a demanding and challenging environment</li>
</ul>
<p><strong>We Offer:</strong></p>
<ul>
<li>Flexible office environment</li>
<li>A diverse and friendly team with people from all over the world, speaking 20+ languages, of all ages and parental-status</li>
<li>Connecting you with a network of companies and people from around the globe</li>
<li>A learning environment where you can extend and build upon your skills and interests, as well as knowledge-sharing and an expanding library of books</li>
<li>Opportunities to attend events and conferences pertaining to your discipline</li>
<li>Competitive Salary and Stock Options</li>
<li>Cool office located in Kreuzberg with a relaxation room, standing-desks, 3D printer and free fruit and drinks</li>
<li>Free German courses at intermediate and advanced level (Working language is English)</li>
<li>We offer the ability to work in a cutting-edge field with the best people in the IoT industry!</li>
</ul>
<p><strong>Sounds interesting?</strong> Please follow the link to apply for this position:</p>
<p>https://relayr.bamboohr.co.uk/jobs/view.php?id=68</p>
","[52, 1267, 2040, 2459, 6876]"
70253,2017-10-18T09:44:01,2017-10-18T08:13:22,Taledo,lead-developer-mf-taledo,Lead Developer (m/f) // Taledo,http://berlinstartupjobs.com/engineering/lead-developer-mf-taledo/,"<p>Taledo is a curated recruiting platform connecting the top 10% of candidates with market leading companies in the digital ecosystem. Founded in 2015, we are serving clients ranging from DAX corporations to early-stage startups. On our mission to create the number one platform, our team continues to grow.</p>
<p><!--more--></p>
<p><strong>Your profile</strong></p>
<ul>
<li>3+ years of professional working experience with Ruby (e.g. Rails or Sinatra) and ideally also JavaScript frameworks (e.g. React)</li>
<li>You are ready to take the next step in your career and want to continue coding while managing a team</li>
<li>Excitement about thoroughly building a sustainable architecture</li>
<li>Strong communication skills, e.g. ability to talk about technical topics and express design decisions</li>
<li>Degree in Computer Science</li>
<li>Berlin residency or willingness to relocate</li>
</ul>
<p><strong>Your responsibilities</strong></p>
<ul>
<li>You will be responsible for architectural design, code review and sprint delivery</li>
<li>You will manage and support a small team of developers</li>
<li>You will adjust tools and processes as the team grows</li>
<li>You will see your code deployed to production within days after joining</li>
<li>You will work directly with and report to the CTO</li>
</ul>
<p><strong>Your environment</strong></p>
<p>At Taledo you will work with a highly motivated team of smart people in a truly international atmosphere. While offering an environment that allows you to stay focused and to work professionally, we keep an open door policy and regularly provide fruits, healthy snacks, tea, coffee and yerba mate. Knowledge sharing and supporting each other is key to our success and offers great opportunities for your professional growth. The office is located in the center of Berlin – easy to get to and close to great cafés and bars.</p>
","[20, 1307, 1840, 1910, 4659]"
70228,2017-10-18T08:50:56,2017-10-18T07:25:49,Seven Senders,system-administrator-it-support-mw-seven-senders,System Administrator / IT Support (m/w) // Seven Senders,http://berlinstartupjobs.com/engineering/system-administrator-it-support-mw-seven-senders/,"<p>YOU SELL. WE DELIVER. Das ist die Devise bei Seven Senders. Mit unseren Produkten und Services revolutionieren wir den globalen Onlinehandel. Wir optimieren alle Prozesse nach dem Checkout und bieten unseren Kunden ein einmaliges Einkaufserlebnis bis zur erfolgreichen Lieferung der Waren. So ermöglichen wir Onlineshops ihre Kunden im Ausland bis zu 30 % günstiger, doppelt so schnell sowie mit innovativen Zusatzleistungen zu beliefern und geben ihnen diverse IT-Tools an die Hand, mit denen sie ihre Kunden glücklich machen können. Wir managen nicht nur im Hintergrund die physische Lieferkette zwischen Shoplager und Kunde, sondern bieten auch ein einheitliches 7S-Tracking-System, welches im Shop-Design nach außen glänzt. E-Commerce war nie so einfach, transparent und günstig.</p>
<p><!--more--></p>
<p><img class=""aligncenter size-full wp-image-48362"" src=""http://berlinstartupjobs.com/wp-content/uploads/seven-senders-banner.png"" alt="""" width=""600"" height=""202"" srcset=""http://22iiaa2jpzc63c93rf3p9oti14j8.wpengine.netdna-cdn.com/wp-content/uploads/seven-senders-banner.png 600w, http://22iiaa2jpzc63c93rf3p9oti14j8.wpengine.netdna-cdn.com/wp-content/uploads/seven-senders-banner-300x101.png 300w, http://22iiaa2jpzc63c93rf3p9oti14j8.wpengine.netdna-cdn.com/wp-content/uploads/seven-senders-banner-290x98.png 290w, http://22iiaa2jpzc63c93rf3p9oti14j8.wpengine.netdna-cdn.com/wp-content/uploads/seven-senders-banner-80x27.png 80w"" sizes=""(max-width: 600px) 100vw, 600px"" /></p>
<p><strong>System Administrator / IT Support (m/w)</strong></p>
<p>Berlin, ab sofort</p>
<p><strong>Deine Aufgaben</strong></p>
<p>Als Systemadministrator (SA) bist Du verantwortlich für die effektive Bereitstellung, Installation / Konfiguration, den Betrieb und die Wartung der Systemhardware und -software und der zugehörigen Infrastruktur. Außerdem stellst du sicher, dass Systemhardware, Betriebssysteme, Softwaresysteme und zugehörige Abläufe reibungslos funktionieren. Des Weiteren gehören folgende Aufgaben zu deiner täglichen Arbeit:</p>
<ul>
<li>Administration von Fachbereichsanwendungen</li>
<li>Beschaffung, Installation und Wartung von Hardware(-Kompo­nenten), wie Computersystemen, Druckern und Storagesystemen</li>
<li>Einrichten von Arbeitsplätzen</li>
<li>Benutzeradministration &#038; Systemadministration</li>
<li>Beraten und schulen von Benutzern</li>
<li>Interner User Helpdesk und Fehlerbeseitigung</li>
<li>Analyse von bestehenden Problemen und deren nachhaltige Lösung</li>
<li>Erweiterung und strukturelle Änderungen des internen Netzwerks</li>
<li>Installation &#038; Konfiguration neuer / vorhandener Server</li>
<li>Recherche und Empfehlung innovativer und möglichst automatisierter Ansätze für Systemadministrationsaufgaben</li>
</ul>
<p><strong>Unsere Erwartungen an Dich</strong></p>
<p>Du solltest Spaß an der Arbeit haben und Dich in den folgenden Punkten wiederfinde</p>
<ul>
<li>Du hast Informatik, Software-Engineering o. ä. studiert oder anderweitig ein gleichwertiges breites IT-Wissen erworben</li>
<li>Du hast eine ausgeprägte Leidenschaft für Betriebssysteme und Serveradministration</li>
<li>Du liebst es, SA-bezogene Lösungen zu entwickeln</li>
<li>Es macht dir Spaß einem Problem auf den Grund zu gehen, die Ursache zu identifizieren und eine Lösung zu entwickeln</li>
<li>Du bist Dienstleistungsorientiert</li>
<li>Du kannst Dich selbst organisieren und Verantwortung für Deine Ergebnisse übernehmen</li>
<li>Deutsch fließend in Wort und Schrift</li>
<li>Gute Englischkenntnisse</li>
</ul>
<p><strong>Unser Angebot</strong></p>
<p>Als junges Unternehmen sind wir für Dich der ideale Arbeitgeber und bieten:</p>
<ul>
<li>Ein sympathisches, hochprofessionelles und motivierendes Team</li>
<li>Verantwortungsvolle, herausfordernde und vielfältige Aufgaben</li>
<li>Start-up-Atmosphäre in einem rasant wachsenden Unternehmen</li>
<li>Internationale, interdisziplinäre Kolleg(inn)en</li>
<li>Ein lockeres Arbeitsumfeld im Herzen Berlins</li>
<li>Eine leistungsgerechte Vergütung</li>
</ul>
<p>Wir haben Dich überzeugt! Dann freuen wir uns auf ein ausführliches Kennenlernen, auf Deine Ideen und Deine Vorstellungen von der Arbeit bei uns.</p>
<p>Dein Ansprechpartner ist Herr Marcel Storost, T.: 0176 237 155 45</p>
","[1239, 2459, 4484, 21291]"
69988,2017-10-18T08:25:47,2017-10-18T07:12:12,Keleya Digital Health Solution,app-developer-iosandroid-mw-keleya-digital-health-solution,App Developer iOS/Android (m/w) // Keleya Digital Health Solution,http://berlinstartupjobs.com/engineering/app-developer-iosandroid-mw-keleya-digital-health-solution/,"<p>In short, what is Keleya: We are an app-based wellbeing coach for pregnant women with focus on exercise and nutrition.<br />
Our overall goal is to increase the wellbeing of pregnant women. Nearly 100% of pregnant women suffer from physical discomforts, which can be relieved via the right nutrition and exercise. But current solutions only offer one-size-fits-all content or are offline (e.g. birth prep classes). With Keleya, we offer individual content such as Yoga- &#038; Pilates workouts and recipes, based on the needs of our users and an integrated algorithm. Our app was launched this week and gets monetized via a subscription model.</p>
<p>Are you all-in to revolutionize pregnancy and actually do a difference in the world? Then become part of the Keleya-Family!</p>
<p><!--more--></p>
<p><strong>What will you be doing:</strong></p>
<ul>
<li>You are responsible for the Keleya product development, optimization and</li>
<li>maintenance</li>
<li>Getting shit done on front &#038; backend</li>
<li>Developing new features for Keleya</li>
<li>Translate our vision into a great product</li>
</ul>
<p><strong>What you bring to the table:</strong></p>
<ul>
<li>App developing background and actual coding knowledge in Swift, Objective-C and</li>
<li>Java</li>
<li>Experience working with React Native</li>
<li>Experience with agile product management</li>
<li>Knowledge in Scrum with JIRA</li>
<li>UX/UI Design skills</li>
</ul>
<p><strong>What we offer in return:</strong></p>
<ul>
<li>An open playing field to bring in your ideas</li>
<li>A working product and great business KPIs</li>
<li>An amazing team and numerous team events</li>
<li>6th floor office with a view onto Alexanderplatz</li>
<li>Good pay and virtual share options</li>
<li>Starting from November</li>
</ul>
","[46, 58, 93, 139, 4510]"
69966,2017-10-18T07:55:41,2017-10-18T06:47:38,Avenso GmbH (LUMAS|WhiteWall),it-project-manager-mf-avenso-gmbh-lumaswhitewall,IT Project Manager (m/f) // Avenso GmbH (LUMAS|WhiteWall),http://berlinstartupjobs.com/engineering/it-project-manager-mf-avenso-gmbh-lumaswhitewall/,"<p>We love photography! You do too?</p>
<p>For our IT Team in our headquarters in Berlin we are looking for an<br />
<strong>IT Project Manager (m/f)</strong>!</p>
<p><!--more--></p>
<p>Our international team, already over 450 people worldwide, channels this passion into high quality products, modern technology and traditional craftsmanship to create a special experience. The two brands of Avenso GmbH &#8211; LUMAS and WhiteWall &#8211; stand for absolute perfection in photography.</p>
<p>Our hand-signed, original photographs have been awing crowds in over 40 LUMAS galleries since 2004. Through affordable editions in relatively large runs, we are democratising the art market.</p>
<p>WhiteWall is our own professional lab for custom-made works, and professional photographers praise its quality. Our premium products meet every desire.</p>
<p><strong>Your responsibilities:</strong></p>
<ul>
<li>You bridge the gap between business and technology and understand the IT systems and technologies that drive our business</li>
<li>You identify opportunities for business improvement and think big</li>
<li>You prioritize and plan offline and online IT projects and take over communication with all stakeholders</li>
<li>You break down all features into clear requirements and tasks</li>
<li>You support, supervise and monitor the projects</li>
<li>You work closely with the CTO</li>
</ul>
<p><strong>Your profile:</strong></p>
<ul>
<li>You have successfully completed a degree in information technology and have a good understanding of business processes</li>
<li>You have 3-5 years of relevant experience in coordinating and managing IT projects</li>
<li>You have worked as a IT Project Manager or in a similar role before, preferably in e-commerce for high-end consumer products</li>
<li>You have experience in coding</li>
<li>Ability to use SQL for analyzing data &#038; testing as well as experience in working with ERP-systems and SAP</li>
<li>You have strong analytical skills, a very structured approach, and a hands-on mentality</li>
<li>You are fluent in English and German</li>
</ul>
<p><strong>What we offer:</strong></p>
<ul>
<li>An innovative and international environment as the continuously expanding market leader for photography and art editions with long-term perspectives</li>
<li>Products that inspire passion in our customers, partners and coworkers</li>
<li>Ongoing professional development</li>
<li>An atmosphere that encourages you to spark change</li>
<li>A flat hierarchy and an open working atmosphere</li>
<li>Interesting insights into the world of photography and art</li>
</ul>
<p><strong>How to apply</strong></p>
<p>We look forward to receiving your online application with your earliest starting date and your salary expectations.</p>
<p>Any queries? Please contact Rosalina Stuckert via jobs@avenso.com.</p>
<p>Apply now: <strong>https://avenso.jobbase.io/job/2c3vsjo8</strong></p>
<p>www.lumas.com | www.whitewall.com</p>
","[21, 289, 295, 675, 762, 1816, 7398, 5785]"
70206,2017-10-17T14:49:49,2017-10-17T14:49:49,Pixformance Sports GmbH,senior-web-developer-pixformance-sports-gmbh,Senior WEB developer // Pixformance Sports GmbH,http://berlinstartupjobs.com/engineering/senior-web-developer-pixformance-sports-gmbh/,"<p>For three years Pixformance has been creating gym equipment that changes the way people think about modern fitness and gyms. As a company and a brand we are entering a new phase of growth and have big plans for our new products.</p>
<p>We are getting serious about our teams and we are looking for someone to own and lead the development of our new Web applications and station management tools.<!--more--></p>
<p><img class=""aligncenter size-full wp-image-70208"" src=""http://berlinstartupjobs.com/wp-content/uploads/pixformance-banner-600x260.png"" alt="""" width=""600"" height=""260"" srcset=""http://22iiaa2jpzc63c93rf3p9oti14j8.wpengine.netdna-cdn.com/wp-content/uploads/pixformance-banner-600x260.png 600w, http://22iiaa2jpzc63c93rf3p9oti14j8.wpengine.netdna-cdn.com/wp-content/uploads/pixformance-banner-600x260-300x130.png 300w, http://22iiaa2jpzc63c93rf3p9oti14j8.wpengine.netdna-cdn.com/wp-content/uploads/pixformance-banner-600x260-290x126.png 290w, http://22iiaa2jpzc63c93rf3p9oti14j8.wpengine.netdna-cdn.com/wp-content/uploads/pixformance-banner-600x260-80x35.png 80w"" sizes=""(max-width: 600px) 100vw, 600px"" /></p>
<p><strong>Tasks</strong></p>
<ul>
<li>Own the development lifecycle and architecture of the frontend team</li>
<li>Develop, implement and test new functionalities and architectures using Vue.js</li>
<li>Develop a responsive user interface while working directly with our Design team and Product</li>
<li>Prototype new concepts along with design and Product Management team</li>
<li>Be a perpetual innovator and status quo challenger</li>
<li>Develop and maintain test suites</li>
<li>Learn and share things you are passionate about</li>
<li>Be a key decision player and sparring partner for our CPO/CTO</li>
</ul>
<p><strong>Who we are looking for</strong></p>
<ul>
<li>Great tech skills, especially when it comes to topics such as JavaScript (Angular, Vue, React), Webpack, SASS, responsive web design</li>
<li>Good understanding of REST-based APIs, e.g. based on Ruby on Rails</li>
<li>Experience with agile processes (scrum, kanban)</li>
<li>Fluency in English is a must</li>
<li>Hands-on, you are always on the lookout for the best solution – also if it requires independently diving into new topics</li>
<li>You have at least 1 year experience as frontend team lead and you like to lead teams</li>
<li>You have built application architectures from scratch, being the key decision owner within your team.</li>
<li>Next to tech you have a few more hobbies ;)</li>
<li>You are passionate about fitness and sports</li>
</ul>
<p><strong>We offer</strong></p>
<ul>
<li>Very competitive salary.</li>
<li>An international, highly motivated team with an office located in central Berlin.</li>
<li>Very flexible working hours.</li>
<li>Relocation allowance for overseas candidates.</li>
<li>Excellent work / life balance.</li>
<li>Free gym membership.</li>
<li>Free coffee, tea, and fresh fruit.</li>
</ul>
<p>Email jobs@pixformance.com to apply →</p>
","[151, 373, 675, 2431, 4016, 4659, 4885, 16414, 21289]"
69952,2017-10-17T14:35:48,2017-10-17T14:35:48,FUNKE Digital TV Guide GmbH,back-end-developer-mf-funke-digital-tv-guide-gmbh,Back-End Developer (m/f) // FUNKE Digital TV Guide GmbH,http://berlinstartupjobs.com/engineering/back-end-developer-mf-funke-digital-tv-guide-gmbh/,"<p>Are you cool, calm and collected? Do you have experience developing and maintaining services in Python and PHP/Symfony? If you are a proficient user of REST API´s, Git, Gerrit, MongoDB and Jenkins we want to hear from you. We belong to one of Germany&#8217;s largest publishing houses and are looking for a Back-End Developer to help us build and run our systems.</p>
<p><!--more--></p>
<p><img class=""aligncenter size-full wp-image-51198"" src=""http://berlinstartupjobs.com/wp-content/uploads/funke-Banner-3.jpg"" alt="""" width=""600"" height=""272"" srcset=""http://22iiaa2jpzc63c93rf3p9oti14j8.wpengine.netdna-cdn.com/wp-content/uploads/funke-Banner-3.jpg 600w, http://22iiaa2jpzc63c93rf3p9oti14j8.wpengine.netdna-cdn.com/wp-content/uploads/funke-Banner-3-300x136.jpg 300w, http://22iiaa2jpzc63c93rf3p9oti14j8.wpengine.netdna-cdn.com/wp-content/uploads/funke-Banner-3-290x131.jpg 290w, http://22iiaa2jpzc63c93rf3p9oti14j8.wpengine.netdna-cdn.com/wp-content/uploads/funke-Banner-3-80x36.jpg 80w"" sizes=""(max-width: 600px) 100vw, 600px"" /></p>
<p><strong><em>Your responsibilities</em></strong></p>
<ul>
<li>Create, extend and maintain Python and PHP/Symfony based back-ends and back-office applications for meta data management, monitoring, reporting and video workflow management</li>
<li>Efficiently use our Content Discovery API to implement innovative features in our B2B applications, support our customers to optimally use our API</li>
<li>Test support: Make sure the back-ends are testable, implement automated end-to-end functional and load/performance test procedures to increase overall product quality</li>
<li>Developer outreach: Represent our company and API at industry events like hackathons and meetups</li>
<li>Technology Selection: Member of the engineering team that evaluates and selects libraries and frameworks</li>
</ul>
<p><strong><em>Your skills</em></strong></p>
<ul>
<li>Degree or formal training in Computer Science</li>
<li>5 years of back-end development experience, preferably in the TV and video space</li>
<li>Fluent in Python and fair knowledge of PHP (Symfony) in a Linux Environment</li>
<li>Having worked productively in other scripting languages is a plus</li>
<li>Multiple years of experience with REST APIs, MongoDB, relational databases</li>
<li>Diligent about version control (Git), clean code, unit testing and continuous integration (Jenkins)</li>
<li>Strong background and multiple years of experience in agile development processes</li>
<li>Strong communicator with fellow developers and customers</li>
<li>Self-motivated, results-oriented problem solver</li>
<li>Passion for media, TV &#038; video is an advantage</li>
<li>Fluent English skills are required. The ability to write and present in German and additional languages is a plus</li>
</ul>
","[62, 2241, 4278, 17762]"
69924,2017-10-17T14:28:48,2017-10-17T14:28:48,allpago GmbH,qa-test-engineer-allpago-gmbh,QA &#038; Test Engineer // allpago GmbH,http://berlinstartupjobs.com/engineering/qa-test-engineer-allpago-gmbh/,"<p>allpago develops and provides the leading payment solutions for the Latin American region enabling global digital companies and other payment providers to process all local payment methods, which make up over 70% of the Latin American eCommerce volume. We serve BMW, Getty Images, McAfee, Salesforce, Symantec, Teamviewer and leading providers such as ACI, Paysafe, PayPal, Wirecard, Zuora in Latin America. Until today we managed to grow organically without any external investors, and now we need you to keep on building our promise of accepting payments in Latin America.</p>
<p><!--more--></p>
<p>As support for our IT teams in Mexico City and Berlin we are looking for a talented and passionate QA &#038; Test Engineer for our Berlin office. Within this role you will work in a cutting edge agile software development environment to ensure the quality of the architecture and development of our software applications. You are supposed to write automated tests at the services/integration and UI layers, using software automation tools. Integration into the organization and building a close collaboration to PO and Business is also part of your duties. With these obligations you will become a vital part in the enhancement, deployment and automation of our payments infrastructure. You will work within an international team and have the opportunity to learn from highly skilled engineers.</p>
<p><strong>Your Role</strong></p>
<p>• Leverage agile testing framework, design and code functional/integration test</p>
<p>• Create test cases and scenarios for various components of the application that ensures the software meets the intended requirements</p>
<p>• Work closely with product owners to understand product specifics and to create corresponding test plan, quality standards, and strategies for the project</p>
<p>• Execute test cases and scripts, log and track problems (bugs) and perform data validation</p>
<p>• Drive the constant improvement of our test automation and continuous integration practices</p>
<p>• Assist developers with debugging defects\Prod tickets by reproducing them in the Test Environment.</p>
<p>• Implement and maintain regression test framework</p>
<p>• Work closely with our DevOps and development team to integrate continuous delivery in the development cycle</p>
<p><strong> Your Profile</strong></p>
<p>• At least 2 years topic related experience with proven track record, Bachelor&#8217;s or Master’s degree is a plus. Alternatively, equivalent combination of education and work experience</p>
<p>• Programming fundamentals and familiarity with JavaScript and UI frameworks</p>
<p>• Strong analytical, organizational and communication skills</p>
<p>• Knowledge of testing methodologies and frameworks</p>
<p>• Software testing certifications, training or proven experience</p>
<p>• Experience working in an Agile (Kanban or Scrum) environment is a plus</p>
<p>• Experience working on Cloud Computing technologies</p>
<p>• Able to write reports/correspondence/procedure manuals, and present information</p>
<p>• Basic understanding of distributed infrastructure &#038; platforms</p>
<p>• Excellent written and verbal communication skills in English is a must, Spanish and Portuguese is a plus</p>
<p>If you are willing to join the Berlin startup scene and to work in a fast moving, innovative and international environment, please send your cover letter, CV, and academic records to us. If you are eligible, passionate about building long-term business partnerships and deliver results, we will reach out to you!</p>
",[]
69922,2017-10-17T14:26:40,2017-10-17T14:26:40,allpago GmbH,senior-linux-administrator-sysops-for-fintech-allpago-gmbh,Senior Linux Administrator / SysOps for FinTech // allpago GmbH,http://berlinstartupjobs.com/engineering/senior-linux-administrator-sysops-for-fintech-allpago-gmbh/,"<p>allpago develops and provides the leading payment solutions for the Latin American region enabling global digital companies and other payment providers to process all local payment methods, which make up over 70% of the Latin American eCommerce volume. We serve BMW, Getty Images, McAfee, Salesforce, Symantec, Teamviewer and leading providers such as ACI, Paysafe, PayPal, Wirecard, Zuora in Latin America. Until today we managed to grow organically without any external investors, and now we need you to keep on building our promise of accepting payments in Latin America.</p>
<p><!--more--></p>
<p>Our team is looking for a highly skilled Senior Linux Administrator/SysOps engineer that will manage the deployment and automation of our payments infrastructure. Before all, you want to understand the business needs and give critical input. You are a self-starter and pro-actively drive your projects putting the team ﬁrst and the ego last.</p>
<p><strong>Your Role</strong></p>
<ul>
<li>should have 3+ years of experience in deploying and maintaining Linux servers. Familiarity with Agile methodologies and data security are required skills</li>
<li>Automate the deployment and conﬁguration of our services in a scalable and multi-regionalinfrastructure</li>
<li>Work closely with the development team to integrate continuous delivery in the development cycle</li>
<li>Apply best practices to an infrastructure and data storage level to ensure the best possible security setup</li>
</ul>
<p><strong>Your Profile</strong></p>
<ul>
<li>Excellent administration skills of Linuxsystems</li>
<li>Excellent understanding of data and infrastructuresecurity</li>
<li>Excellent in scripting and administration of AWS-services</li>
<li>Experience in performance optimization, debugging andproﬁling</li>
<li>Experience in continuous integration and delivery processes using Jenkins</li>
<li>Ability to work remotely in an internationalteam</li>
<li>Fluent spoken Englishskills</li>
<li>Experience in payments (PCI-DSS) and security industry is aplus</li>
<li>Experiences in any certification process is a plus</li>
</ul>
<p>We offer you an international working environment with ﬂat hierarchies in the heart of Berlin and the opportunity to work across regions with your peers in Brazil and Mexico. Over 80% of our clients come from the Silicon Valley which ensures an innovative and challenging working environment. Please send your cover letter, CV and relevant job references to us. If you are eligible, passionate about building long-term business partnerships and deliver results, we will reach out to you!</p>
",[]
